doi,theory_id,theory,title,year,"Q1: Does the paper/theory suggest an aging biomarker (i.e. measurable entity reflecting the pace of aging or organism health state, associated with mortality or age-related conditions)?",Q2: Does the paper/theory suggest a molecular mechanism of aging?,Q3: Does the paper/theory suggest a longevity intervention to test?,Q4: Does the paper/theory claim that aging cannot be reversed? (Yes / No),Q5: Does the paper/theory suggest a biomarker that explains differences in maximum lifespan between species? (Yes / No),Q6: Does the paper/theory explain why the naked mole rat can live 40+ years despite its small size?,Q7: Does the paper/theory explain why birds live much longer than mammals on average?,Q8: Does the paper/theory explain why large animals live longer than small ones?,Q9: Does the paper/theory explain why calorie restriction increases the lifespan of vertebrates?
10.1016/j.jagp.2023.09.014,T0114,Geroscience Hypothesis,Geroscience-Centric Perspective for Geriatric Psychiatry: Integrating Aging Biology With Geriatric Mental Health Research.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jaim.2017.10.002,T1623,Classical Humoral and Vitality Decline Theory,Ayurveda and the science of aging.,2018,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jalz.2013.12.008,T0727,Insulin/IGF-1 Signaling Reduction Disposable Soma Theory,The paradox of neuronal insulin action and resistance in the development of aging-associated diseases.,2014,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jalz.2015.03.005,T0698,Mechanotransduction and Mechanobiology Theory,Mechanical stress related to brain atrophy in Alzheimer's disease.,2016,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jalz.2016.12.006,T0025,Calcium Dysregulation Theory,Calcium Hypothesis of Alzheimer's disease and brain aging: A framework for integrating new evidence into a comprehensive theory of pathogenesis.,2017,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jamda.2013.05.009,T0278,Innate Immune Sensing and Dampened Inflammation Inflammaging Theory,"Proinflammatory cytokines, aging, and age-related diseases.",2013,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jamda.2015.03.013,T0766,Proteostasis and Protein Oxidation Accumulated Damage Theory,"Aging and Multimorbidity: New Tasks, Priorities, and Frontiers for Integrated Gerontological and Clinical Research.",2015,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jare.2018.02.004,T0275,Inflammation-Driven Hematopoietic and Immune Stem Cell Aging,Ageing: Is there a role for arachidonic acid and other bioactive lipids? A review.,2018,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jare.2024.03.005,T0034,Gut Microbiota Dysbiosis Theory,Achieving healthy aging through gut microbiota-directed dietary intervention: Focusing on microbial biomarkers and host mechanisms.,2025,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1016/j.jare.2024.03.008,T2113,Impaired Cellular Clearance and Inflammation Theory,"The efferocytosis process in aging: Supporting evidence, mechanisms, and therapeutic prospects for age-related diseases.",2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jare.2024.05.003,T1168,Metabolic Regulation and Longevity Theory,Arachidonic acid in aging: New roles for old players.,2025,"Yes, but not shown",Yes,Yes,Yes,No,No,No,No,No
10.1016/j.jash.2007.05.001,T2037,Proinflammatory Vascular Aging Theory,Central arterial aging and the epidemic of systolic hypertension and atherosclerosis.,2007,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jbc.2023.103005,T0049,Metabolic Regulation and Nutrient Signaling Theory,Innate immune cell-intrinsic ketogenesis is dispensable for organismal metabolism and age-related inflammation.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jbc.2023.105409,T0482,Metabolic Adaptation Theory,Gene purging and the evolution of Neoave metabolism and longevity.,2023,"Yes, but not shown",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
10.1016/j.jbc.2023.105414,T0459,Signaling and Transcriptional Regulation in Aging,The adaptor protein 14-3-3zeta modulates intestinal immunity and aging in Drosophila.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jbc.2023.105512,T0660,Phosphate Toxicity Theory,Cartilage tissues regulate systemic aging via ectonucleotide pyrophosphatase/phosphodiesterase 1 in mice.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jbc.2024.105761,T0774,Redox Signaling and Transcription Factor Regulation Theory,Redox regulation in lifespan determination.,2024,"Yes, but not shown",Yes,Yes,No,No,Yes,No,No,Yes
10.1016/j.jbc.2024.107320,T0461,Ceramide Metabolism Theory,Loss of the ceramide synthase HYL-2 from Caenorhabditis elegans impairs stress responses and alters sphingolipid composition.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jbc.2025.110735,T0894,Proteasome Dysfunction and Decline Theory,Structural basis for L-isoaspartyl-containing protein recognition by the human PCMTD1 cullin-RING E3 ubiquitin ligase.,2025,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jbiomech.2008.08.024,T0040,Nuclear Lamina Dysfunction Theory,Nuclear mechanotransduction: response of the lamina to extracellular stress with implications in aging.,2008,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jbiomech.2014.12.044,T0059,Mitochondrial DNA Mutation-Driven Aging Theory,Mitochondria DNA mutations cause sex-dependent development of hypertension and alterations in cardiovascular function.,2015,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jbiosc.2017.02.021,T1217,Insulin/IGF-1 Signaling Downregulation Theory,"Calycosin promotes lifespan in Caenorhabditis elegans through insulin signaling pathway via daf-16, age-1 and daf-2.",2017,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jchemneu.2022.102210,T1470,Oxidative Stress-Induced Cellular Senescence and Inflammation Theory,Cellular mechanisms in brain aging: Focus on physiological and pathological aging.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jchf.2024.02.021,T0624,"Cellular Senescence, Mitochondrial Dysfunction, and Inflammation Hallmarks",Aging in Heart Failure: Embracing Biology Over Chronology: JACC Family Series.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jchromb.2005.04.023,T0001,Mitochondrial ROS-Induced Free Radical Theory,"Oxidative stress in brain aging, neurodegenerative and vascular diseases: an overview.",2005,"Yes, but not shown",Yes,No,Yes,No,No,No,No,No
10.1016/j.jcpa.2009.09.005,T0276,T Cell Immunosenescence and Replicative Senescence Theories,Senescence of the human immune system.,2010,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jcpa.2009.10.016,T0193,Gompertz-Makeham Mortality Model,The law of mortality revisited: interspecies comparisons of mortality.,2010,No,No,No,No,Yes,No,No,No,No
10.1016/j.jcpa.2009.10.022,T0276,T Cell Immunosenescence and Replicative Senescence Theories,Immunity in the elderly: the role of the thymus.,2010,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jcpa.2009.10.024,T0548,Replicative Senescence and Telomere-Associated Cellular Senescence Theory,Methusaleh's Zoo: how nature provides us with clues for extending human health span.,2010,"Yes, but not shown",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
10.1016/j.jdiacomp.2013.08.004,T1293,Progenitor Cell Exhaustion in Vascular and Bone Aging Theory,Depletion of circulating progenitor cells precedes overt diabetes: a substudy from the VA enhanced fitness trial.,2013,"Yes, quantitatively shown",No,Yes,No,No,No,No,No,No
10.1016/j.jep.2020.112839,T0045,Senescence-Associated Secretory Phenotype (SASP) and Tissue Dysfunction Theory,Anti-aging properties of Dendrobium nobile Lindl.: From molecular mechanisms to potential treatments.,2020,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jep.2025.119399,T0912,Metabolic Aging and Autophagy Dysfunction Theory,Crassifolin A prolongs lifespan and healthspan in Caenorhabditis elegans via activating autophagy.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jep.2025.119597,T0279,Klotho-Phosphate Metabolism and FGF23 Endocrine Axis Aging Theory,Association of α-Klotho with anti-aging effects of Ganoderma lucidum in animal models.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jgg.2014.06.002,T1045,Dietary Restriction and Nutrient-Sensing Pathways in Aging,Lifespan modulation in mice and the confounding effects of genetic background.,2014,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jgg.2019.03.011,T0399,Mitochondrial Quality Control and Dynamics Theory,Organelle aging: Lessons from model organisms.,2019,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jgg.2023.11.002,T0166,mTORC1/2 Signaling Hyperfunction Theory,Knockdown of neuronal DAF-15/Raptor promotes healthy aging in C. elegans.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jgr.2025.05.005,T0327,Immunosenescence and Immune Remodeling Inflammaging Theory,The role of ginseng in aging: Insights into regulatory T cells activation and mitochondrial regulation.,2025,"Yes, but not shown",Yes,Yes,Yes,No,No,No,No,No
10.1016/j.jhazmat.2025.139273,T0270,Telomere Attrition and Aging Biomarker Theory,Genome-wide association and epidemiological evidence linking air pollution to aging mechanisms.,2025,"Yes, quantitatively shown",Yes,No,No,No,No,No,No,No
10.1016/j.jhep.2013.03.037,T1448,IGF-1 Signaling and Tissue-Specific Aging Theory,Deficiency of insulin-like growth factor 1 attenuates aging-induced changes in hepatic function: role of autophagy.,2013,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jhep.2024.03.043,T0561,Cell Cycle Dysregulation Theory,Polyploidisation pleiotropically buffers ageing in hepatocytes.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jhep.2025.08.021,T0849,SASP-Driven Cellular Senescence Theory,Cellular senescence in liver diseases: From molecular drivers to therapeutic targeting.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jhepr.2021.100301,T0183,Molecular Marker and Immune Recognition Senescence Theory,Evaluating causality of cellular senescence in non-alcoholic fatty liver disease.,2021,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jid.2016.01.017,T1713,Mitochondrial Electron Transport Chain Dysfunction Theory,Age-Dependent Decrease of Mitochondrial Complex II Activity in Human Skin Fibroblasts.,2016,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jid.2020.10.006,T0146,Nuclear Genome Instability and DNA Repair Decline Theory,DNA Damage and the Aging Epigenome.,2021,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jid.2020.11.012,T0256,DNA Damage Response and Repair Pathway Theory,Xeroderma Pigmentosum: A Model for Human Premature Aging.,2021,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jid.2020.11.018,T1269,Damage Accumulation and Repair Strategies Theory,Principles of the Molecular and Cellular Mechanisms of Aging.,2021,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jid.2020.12.006,T0111,Telomere Theory,Telomere Dynamics and Telomerase in the Biology of Hair Follicles and their Stem Cells as a Model for Aging Research.,2021,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jid.2025.03.028,T1025,Mitochondrial Dysfunction and Neuromuscular Aging Theory,Aging-Associated Mitochondrial Decline Accelerates Skin Aging and Obesity.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jinsphys.2006.05.014,T0592,Reproduction-Maintenance Trade-off and Telomere Dynamics Theory,Developmental and age-specific effects of selection on divergent virgin life span on fat content and starvation resistance in Drosophila melanogaster.,2006,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jinsphys.2011.02.007,T0257,Hormonal Regulation of Metabolic Aging,Novel roles for the corpus allatum hormone in the cost of sexual interactions in the linden bug Pyrrhocoris apterus.,2011,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jinsphys.2014.05.002,T0106,Dietary Restriction Mechanisms,Transcriptional response to dietary restriction in Drosophila melanogaster.,2014,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jinsphys.2020.104084,T0001,Mitochondrial ROS-Induced Free Radical Theory,"Selection on age of female reproduction in the marula fruit fly, Ceratitis cosyra (Walker) (Diptera: Tephritidae), decreases total antioxidant capacity and lipid peroxidation.",2020,"Yes, but not shown",Yes,No,No,No,No,No,No,Yes
10.1016/j.jinsphys.2024.104666,T1787,Classic Oxidative Damage Accumulation Free Radical Theory,"Effects of age on oxidative stress and locomotion in the pollinator, Megachile rotundata.",2024,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1016/j.jjcc.2012.07.015,T0023,Insulin/IGF-1 Signaling Pathway Theories,Aging as a substrate of heart failure.,2012,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jjcc.2019.05.002,T0230,Telomere and DNA Damage-Induced Cellular Senescence Theory,Cellular senescence in cardiac diseases.,2019,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jlr.2025.100765,T0171,Lipid Peroxidation Theory,Do physiological changes in fatty acid composition alter cellular ferroptosis susceptibility and influence cell function?,2025,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jmb.2009.02.028,T0419,Mitochondrial ROS-Induced Oxidative Stress Aging Theory,Mutations in the C. elegans succinate dehydrogenase iron-sulfur subunit promote superoxide generation and premature aging.,2009,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jmb.2011.12.014,T1281,Protein Aggregation and Insolubility Theory,The effect of amyloidogenic peptides on bacterial aging correlates with their intrinsic aggregation propensity.,2012,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jmb.2013.01.023,T0772,Insulin/IGF-1 Signaling-Associated MicroRNA Regulation Theory,MicroRNAs and the genetic network in aging.,2013,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jmb.2016.08.020,T0637,Gene Expression and Epigenetic Regulation CR Theory,Non-Coding RNA Molecules Connect Calorie Restriction and Lifespan.,2017,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1016/j.jmb.2017.06.019,T0180,Transcriptional Dysregulation Theory,Transcriptional Signatures of Aging.,2017,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jmb.2019.12.036,T0453,Feeding-Regulated Circadian Clock Resetting Theory,Molecular Connections Between Circadian Clocks and Aging.,2020,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jmb.2022.167798,T0146,Nuclear Genome Instability and DNA Repair Decline Theory,Changes in DNA double-strand break repair during aging correlate with an increase in genomic mutations.,2022,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jmb.2023.168114,T0011,Senescent Cell Accumulation and SASP Theory,Molecular Mechanisms of Cellular Senescence in Neurodegenerative Diseases.,2023,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jmb.2024.168642,T1373,Biomolecular Condensate and Phase Separation Theory,The Heat Shock Response as a Condensate Cascade.,2024,No,Yes,No,No,No,No,No,No,No
10.1016/j.jneuroim.2003.10.031,T0897,Immunological Theory,Interleukin-6 in the aging brain.,2004,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jnha.2024.100397,T0199,Mitophagy and Mitochondrial Quality Control Theory,Mitochondrial pathways and sarcopenia in the geroscience era.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jns.2008.04.027,T1099,mTORC1 and Nutrient Signaling-Mediated Stem Cell Exhaustion Theory,Taking ageing into account in remyelination-based therapies for multiple sclerosis.,2008,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jns.2009.07.027,T1274,Mitochondrial DNA Damage and Dysfunction Theories,Age-related alterations in the expression of MTH2 in the hippocampus of the SAMP8 mouse with learning and memory deterioration.,2009,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jnutbio.2005.03.027,T0002,Mitochondrial ROS-Induced Oxidative Stress Theory,Acetylcarnitine and cellular stress response: roles in nutritional redox homeostasis and regulation of longevity genes.,2006,"Yes, but not shown",Yes,Yes,No,Yes,No,Yes,No,Yes
10.1016/j.jnutbio.2008.10.006,T1226,Caloric Restriction and Oxidative Damage Interaction Theory,The role of alpha-tocopherol in motor hypofunction with aging in alpha-tocopherol transfer protein knockout mice as assessed by oxidative stress biomarkers.,2010,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jnutbio.2014.02.001,T0141,Mitochondrial ROS and Antioxidant Enzyme Theory,Dietary antiaging phytochemicals and mechanisms associated with prolonged survival.,2014,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jnutbio.2018.07.003,T0139,Caloric Restriction Theory of Aging,Dietary modulation of mitochondrial DNA damage: implications in aging and associated diseases.,2019,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1016/j.jnutbio.2022.109068,T0345,DNA Damage Response-Induced Cellular Senescence Theory,"Long-term consumption of green tea EGCG enhances murine health span by mitigating multiple aspects of cellular senescence in mitotic and post-mitotic tissues, gut dysbiosis, and immunosenescence.",2022,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jnutbio.2022.109202,T0439,Telomere Dysfunction and Disease Causality Theory,Lifelong docosahexaenoic acid intervention ameliorates aging in the telomere-DNA-mitochondria axis in telomerase-deficient mice.,2023,"Yes, but not shown",Yes,Yes,Yes,No,No,No,No,No
10.1016/j.joca.2013.11.004,T0920,FOXO Regulation in Longevity and Tumor Suppression Theory,Dysregulated FOXO transcription factors in articular cartilage in aging and osteoarthritis.,2014,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.joca.2023.11.018,T0011,Senescent Cell Accumulation and SASP Theory,Aging and the emerging role of cellular senescence in osteoarthritis.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.joca.2025.05.001,T0688,Evolutionary Programmatic Senescence Theory,How aging causes osteoarthritis: An evolutionary physiology perspective.,2025,No,Yes,No,No,No,No,No,No,No
10.1016/j.jphotobiol.2020.112083,T0798,Bioenergetic Decline Theory,The bioenergetics of COVID-19 immunopathology and the therapeutic potential of biophysical radiances.,2020,No,No,No,No,No,No,Yes,No,No
10.1016/j.jphyss.2024.100003,T1456,Mitohormesis and ROS Signaling Theory,Involvement of ROS signal in aging and regulation of brain functions.,2025,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jprot.2011.05.041,T0419,Mitochondrial ROS-Induced Oxidative Stress Aging Theory,Rat liver mitochondrial proteome: changes associated with aging and acetyl-L-carnitine treatment.,2011,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jprot.2011.06.005,T1053,Oxidation-Inflammation and Immune Aging Theory,"Oxidative stress, inflamm-aging and immunosenescence.",2011,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1016/j.jprot.2013.01.004,T0030,Antioxidant Defense and Oxidative Damage Theory,Protein oxidation in aging and the removal of oxidized proteins.,2013,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,No
10.1016/j.jprot.2013.03.022,T0722,Mitochondrial Protein Quality Control Decline Aging Theory,Oxidative stress and mitochondrial protein quality control in aging.,2013,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jprot.2013.05.008,T0544,Protein Oxidation and Modification Theory,Proteomic quantification and identification of carbonylated proteins upon oxidative stress and during cellular aging.,2013,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jprot.2013.05.012,T0126,Advanced Glycation End Products (AGEs) Theory of Aging,Protein glycation during aging and in cardiovascular disease.,2013,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jprot.2013.06.025,T0471,Protein Oxidation and Posttranslational Modification Theory,The role of heat stress on the age related protein carbonylation.,2013,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jprot.2015.09.008,T0030,Antioxidant Defense and Oxidative Damage Theory,Differential proteomics reveals age-dependent liver oxidative costs of innate immune activation in mice.,2016,"Yes, but not shown",Yes,No,No,No,No,Yes,No,No
10.1016/j.jprot.2017.01.015,T0190,Advanced Glycation Endproducts (AGE) Cross-Linking Theory,Glycation inhibitors extend yeast chronological lifespan by reducing advanced glycation end products and by back regulation of proteins involved in mitochondrial respiration.,2017,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1016/j.jpsychires.2017.03.023,T1258,Stress-Accelerated Telomere Shortening Theory,Stress-related telomere length in children: A systematic review.,2017,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jpsychores.2007.07.003,T1050,Antioxidant Defense and p53-Mediated Apoptosis Theory,Gene expression profiling in practitioners of Sudarshan Kriya.,2008,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jsbmb.2007.05.016,T0353,Estrogen Signaling and Aging Modulation Theory,The clinical relevance of the relationship between estrogen and cognition in women.,2007,No,Yes,Yes,No,No,No,No,No,No
10.1016/j.jsbmb.2007.09.010,T1103,Immune-Neuroendocrine Homeostatic Aging Theory,Molecular mechanisms involved in the hormonal prevention of aging in the rat.,2008,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jsbmb.2008.12.020,T0665,Vitamin D Regulation Theory,Vitamin D and aging.,2009,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jse.2019.01.022,T0126,Advanced Glycation End Products (AGEs) Theory of Aging,Influence of advanced glycation end products on rotator cuff.,2019,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jss.2013.01.021,T0222,Deficit Accumulation Theory,Accumulating deficits model of frailty and postoperative mortality and morbidity: its application to a national database.,2013,"Yes, quantitatively shown",No,No,No,No,No,No,No,No
10.1016/j.jtauto.2024.100237,T0131,Immunosenescence and Inflammaging Theory,Autoimmunity in centenarians. A paradox.,2024,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jtbi.2003.08.009,T1264,Telomere Position Effect and Chromatin Architecture Theory,A kinetic model of telomere shortening in infants and adults.,2004,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2004.03.015,T0195,ERC Accumulation Theory,A mathematical model of ageing in yeast.,2004,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jtbi.2004.05.011,T1010,Replicative Senescence and Telomere-Driven Senescence Theory,Non-neutral role of replicative senescence in tissue homeostasis and tumorigenesis.,2004,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2004.11.024,T0039,Membrane Pacemaker Theory,On the importance of fatty acid composition of membranes for aging.,2005,"Yes, but not shown",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
10.1016/j.jtbi.2004.12.016,T1066,Telomere Dysfunction and Cancer Antagonistic Pleiotropy Theory,A mathematical model of cellular apoptosis and senescence through the dynamics of telomere loss.,2005,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1016/j.jtbi.2006.05.003,T0734,Declining Selection Force Antagonistic Pleiotropy Theory,Fluctuation in the physical environment as a mechanism for reinforcing evolutionary transitions.,2006,No,No,No,No,No,No,No,Yes,No
10.1016/j.jtbi.2006.10.013,T0904,Stem Cell Proliferation and Cycling-Driven Exhaustion Theory,Effect of stem cell turnover rates on protection against cancer and aging.,2007,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2006.11.011,T0559,Demographic Aging Patterns Theory,Modeling human mortality using mixtures of bathtub shaped failure distributions.,2007,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1016/j.jtbi.2007.06.009,T0879,Telomerase Activity and Telomeric Replication Stress Resolution Theory,Aging and immortality in a cell proliferation model.,2007,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2007.09.016,T0404,Network Failure and Interdependence Mechanisms,"Aging mechanism as the ""down side"" of adaptation: a network approach.",2008,"Yes, but not shown",Yes,Yes,No,Yes,No,No,No,Yes
10.1016/j.jtbi.2008.07.021,T0802,System Redundancy and Reserve Capacity Theory,The natural distribution of survival.,2008,"Yes, but not shown",No,No,No,Yes,No,No,No,No
10.1016/j.jtbi.2009.01.009,T0193,Gompertz-Makeham Mortality Model,How could the Gompertz-Makeham law evolve.,2009,"Yes, but not shown",Yes,No,No,Yes,No,No,No,No
10.1016/j.jtbi.2009.01.023,T0556,Stochastic Process Model,"Genetic model for longitudinal studies of aging, health, and longevity and its potential application to incomplete data.",2009,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1016/j.jtbi.2009.05.013,T0931,Pathogen Control Theory,Senescence as an adaptation to limit the spread of disease.,2009,No,No,No,No,No,No,Yes,No,No
10.1016/j.jtbi.2010.07.012,T1278,Condition-Dependent Mortality and Mutation Accumulation Theory,Evolution of the rate of biological aging using a phenotype based computational model.,2010,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1016/j.jtbi.2010.09.024,T0794,Protein Folding and Structural Stability Theory,Protein folding disorders: toward a basic biological paradigm.,2010,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2012.12.020,T0007,Classical Evolutionary Antagonistic Pleiotropy Theory,Are some conventional measures of the rate of ageing consistent with antagonistic pleiotropy?,2013,No,No,No,No,No,No,No,No,No
10.1016/j.jtbi.2013.09.009,T1714,Mitochondrial Replication Advantage and Deletion Mutants Theory,Mitochondrial mutations and ageing: can mitochondrial deletion mutants accumulate via a size based replication advantage?,2014,No,Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2013.11.016,T1820,Evolutionary Declining Selection Pressure Theory,No senescence despite declining selection pressure: Hamilton's result in broader perspective.,2014,No,Yes,No,No,No,No,No,No,No
10.1016/j.jtbi.2014.03.011,T0014,Grandmother Hypothesis,Grandmothering drives the evolution of longevity in a probabilistic model.,2014,No,No,No,No,No,No,No,No,No
10.1016/j.jtbi.2014.03.025,T0936,Dynamic Energy Budget Theory,The bijection from data to parameter space with the standard DEB model quantifies the supply-demand spectrum.,2014,"Yes, but not shown",No,No,No,Yes,No,Yes,No,No
10.1016/j.jtbi.2014.06.014,T0382,Multi-Level Biological Clock Theory,Evolution of lifespan.,2014,"Yes, but not shown",Yes,Yes,No,Yes,No,No,Yes,No
10.1016/j.jtbi.2014.07.015,T1445,Energy Allocation and Reproduction-Maintenance Tradeoff Theory,Resource allocation as a driver of senescence: life history tradeoffs produce age patterns of mortality.,2014,"Yes, but not shown",No,No,No,No,No,Yes,No,No
10.1016/j.jtbi.2015.01.020,T0838,Life History Evolution of Reproductive Timing and Senescence,A structured population model suggests that long life and post-reproductive lifespan promote the evolution of cooperation.,2015,No,No,No,No,No,No,No,No,No
10.1016/j.jtbi.2015.06.043,T0763,Quiescent and Active Stem Cell Compartment Theory of Aging and Cancer Prevention,Unraveling the non-senescence phenomenon in Hydra.,2015,"Yes, but not shown",Yes,Yes,No,No,No,No,Yes,No
10.1016/j.jtbi.2015.12.014,T0014,Grandmother Hypothesis,"Evolution of longevity, age at last birth and sexual conflict with grandmothering.",2016,No,No,No,No,No,No,No,Yes,No
10.1016/j.jtbi.2016.04.035,T1835,Non-Mutational Intrinsic Dynamics Theory,Simulating the multicellular homeostasis with a cell-based discrete receptor dynamics model: The non-mutational origin of cancer and aging.,2016,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1016/j.jtbi.2017.07.019,T1128,Evolutionary Theories of Menopause,Emergence and maintenance of menopause in humans: A game theory model.,2017,No,No,No,No,No,No,No,No,No
